id Weight Body_Length Tail_Length Date Sex Year Age Who Cohort Wolfgruoben Mother Father f X_Position Y_Position animal Age3 Phi Im ARS LRS Origin Julian RelativeJulian ARSS rPhi rARSS rLRS rock_coverage herb_coverage rARS StDate StDateSq rLRS2
CN06-005 51 NA NA 2006-08-08 Male 2006 A SR/PW 2005 FALSE 0 0 0 -0.974416781857589 -1.79827215171764 CN06-005 1 0 0 5 5 2006-01-01 219 75 5 0 3.73873873873874 0.867768595041322 -1.97163625908683 1.66896924731203 4.77011494252874 -0.168635757542214 -0.377160648420148 0.872146345134777
CN06-005 46 NA NA 2006-08-09 Male 2006 A SR/PW 2005 FALSE 0 0 0 -1.05691509348434 -0.800199382847688 CN06-005 1 0 0 5 5 2006-01-01 220 76 5 0 3.73873873873874 0.867768595041322 0.923224381714449 -0.765674346748644 4.77011494252874 -0.139451122806375 -0.349698903513589 0.873442596564064
CN06-005 49 NA NA 2006-08-16 Male 2006 A SR/PW/TB 2005 FALSE 0 0 0 -0.974416781857589 -0.550681190630199 CN06-005 1 0 0 5 5 2006-01-01 227 83 5 0 3.73873873873874 0.867768595041322 0.923224381714449 -0.765674346748644 4.77011494252874 0.064841320344499 -0.147282200990412 0.872622473757721
CN06-005 49 NA NA 2006-08-18 Male 2006 A SR/PW/TB 2005 FALSE 0 0 0 -0.974416781857589 -0.550681190630199 CN06-005 1 0 0 5 5 2006-01-01 229 85 5 0 3.73873873873874 0.867768595041322 0.923224381714449 -0.765674346748644 4.77011494252874 0.123210589816177 -0.0861752719268112 0.883233485352538
CN06-005 50 NA NA 2006-09-01 Male 2006 A SR/UK 2005 FALSE 0 0 0 -0.809420158604079 -1.29923576728266 CN06-005 1 0 0 5 5 2006-01-01 243 99 5 0 3.73873873873874 0.867768595041322 -1.52854534467847 2.01677547503498 4.77011494252874 0.531795476117925 0.382311184227461 0.878702831018873
CN06-006 35 NA 54 2006-05-26 Male 2006 A PW 2005 FALSE 0 0 0 -1.38690833999137 -0.800199382847688 CN06-006 1 0 0 2 3 2006-01-01 145 1 2 0 1.4954954954955 0.520661157024793 -0.494666544392298 -0.0700618913027372 1.90804597701149 -2.32829872799431 -1.39997424679423 0.524746573815116
CN06-006 42 NA 46 2006-06-15 Male 2006 A PW 2005 FALSE 0 0 0 -1.38690833999137 -0.800199382847688 CN06-006 1 0 0 2 3 2006-01-01 165 21 2 0 1.4954954954955 0.520661157024793 -0.494666544392298 -0.0700618913027372 1.90804597701149 -1.74460603327753 -1.31995326825856 0.520883207772088
CN06-007 38 NA 54 2006-06-14 Female 2006 A PW 2004 FALSE 0 0 0 -1.46940665161812 -0.0516448061952222 CN06-007 2 1 0 1 8 2006-01-01 164 20 3 6.4 1.62162162162162 1.26315789473684 0.834606198832777 -0.417868119025691 0.813008130081301 -1.77379066801336 -1.3274097685312 1.28270365562622
CN06-007 37 NA NA 2006-06-15 Female 2006 A PW 2004 FALSE 0 0 0 -1.46940665161812 -0.0516448061952222 CN06-007 2 1 0 1 8 2006-01-01 165 21 3 6.4 1.62162162162162 1.26315789473684 0.834606198832777 -0.417868119025691 0.813008130081301 -1.74460603327753 -1.31995326825856 1.27687945569948
CN06-007 37 NA 58 2006-08-17 Female 2006 A SR 2004 FALSE 0 0 0 -1.38690833999137 -0.550681190630199 CN06-007 2 1 0 1 8 2006-01-01 228 84 3 6.4 1.62162162162162 1.26315789473684 0.0961213414855136 -0.209184382391919 0.813008130081301 0.0940259550803381 -0.11691060231892 1.27238298734956
